Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Serviços Sem Placa Informada,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Mecânica (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Meca%CC%82nica%20c241fa04de0a4f99be5e43b571637ef5.csv),Número de ordens de serviço sem a inclusão da informação da placa do veículo.
Total de Ordens de Serviço,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Mecânica (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Meca%CC%82nica%20c241fa04de0a4f99be5e43b571637ef5.csv),Valor total gerado pelas ordens de serviço registradas.
Desconto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Tabela de Preço (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Tabela%20de%20Prec%CC%A7o%20d4498b437a2042359886aa8679029e15.csv),Valor total dos descontos aplicados através das diferentes tabelas de preço.
Acréscimo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Tabela de Preço (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Tabela%20de%20Prec%CC%A7o%20d4498b437a2042359886aa8679029e15.csv),Valor total dos acréscimos aplicados nos produtos com base nas diferentes tabelas de preço.
Total de Recebimentos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Financeiro%20e0e69a8fedc04cb5b7abe3f6131009a0.csv),Total recebido pela empresa no período selecionado.
Total de Pagamentos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Financeiro%20e0e69a8fedc04cb5b7abe3f6131009a0.csv),Total de pagamentos realizados pela empresa durante um determinado período.
Saldo Atual,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Financeiro%20e0e69a8fedc04cb5b7abe3f6131009a0.csv),Total de fundos disponíveis que a empresa possui no período.
Valor Total de Juros,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Boletos%20ffaaf2c92a6e43de9057b1c7168daa55.csv),Soma dos valores de juros que foram acrescentados ao montante original de boletos emitidos.
Valor Total de Desconto,BI,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Boletos%20ffaaf2c92a6e43de9057b1c7168daa55.csv),Soma dos valores de descontos concedidos em boletos emitidos.
Valor Total de Multa,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Boletos%20ffaaf2c92a6e43de9057b1c7168daa55.csv),Soma dos valores referentes às multas aplicadas em boletos  emitidos que não foram pagos até a data de vencimento.
Valor Total de Cancelamentos,BI,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Boletos (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Boletos%20ffaaf2c92a6e43de9057b1c7168daa55.csv),Soma dos valores de todos os boletos que foram emitidos pela empresa e posteriormente cancelados.
Compras Geradas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20fc5149507bbe47c0aea2eb284bf46e43.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20d44a04fd47654f229e5d6edd2cd22c9e.csv)",Aplicativo Solicitação de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Solicitac%CC%A7a%CC%83o%20de%20Compra%20915d1edb3b2e4157865893ee0f7a3296.csv),Número de solicitações que foram aprovadas e as respectivas compras efetuadas.
Valor Total,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%200133b97ff4154d399ddf2fc9047baa9c.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%2062b21efb6144482899dc0fc4395df96c.csv)",Aplicativo Solicitação de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Solicitac%CC%A7a%CC%83o%20de%20Compra%20915d1edb3b2e4157865893ee0f7a3296.csv),Valor total de solicitações de compra efetuadas no perído.
Custo Total de Prospecção,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20b7bccf3324754a98b9baee445494a8a2.csv),Aplicativo Proposta (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Proposta%20e6850907842e4305a11b7004394751fb.csv),"Custo total envolvido nas propostas efetuadas. "
Valor Total de Divergências,BI,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%200f3329b4485a4b519ee484d3801814ec.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%202ff6ab2be79e4eb1a748dad0f67d4bf4.csv)",Aplicativo Balanço de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Balanc%CC%A7o%20de%20Estoque%208c57889820d242d2881af8d1dfc28276.csv),Valor total das diferenças encontradas entre os registros contábeis do inventário e os resultados das contagens físicas durante um balanço de estoque.
Lucro Total,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Variação (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Variac%CC%A7a%CC%83o%20821aa073f2cc4dda995325293097afcd.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%2021d699b164c142e9aba34be59c267684.csv)",Aplicativo Grade (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Grade%20dc9b59636795467db5c7d4db5cfdc44b.csv),"Valor total de Lucro gerado por grades de produto. "
Taxa de Rastreabilidade,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Lote (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Lote%203982e5db473449e4a24a219ebf716f73.csv),"Eficácia com que se pode rastrear e identificar a origem, o processamento e a distribuição de lotes específicos de produtos ao longo de toda a cadeia de suprimentos"
Valor Total,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Lote (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Lote%203982e5db473449e4a24a219ebf716f73.csv),Valor financeiro total de um lote específico de produtos.
Taxa de Perdas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20d2742f66ba81461fbb595b50075574e7.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%205085ff8c73ed48da99037d804e486930.csv)",Aplicativo Múltiplos Estoques (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Mu%CC%81ltiplos%20Estoques%204eb66a5c0ebd4fb0ab9129c3b0adb331.csv),Porcentagem de produtos do estoque que são perdidos.
Taxa de Horas Faltas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Ficha-Ponto (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Ficha-Ponto%20db58ee7444a947f981d259bbb1898963.csv),
Custo Total de Funcionários,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Funcionários (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Funciona%CC%81rios%20ce8540fd90b64211ad96c8b7224afc7e.csv),
Taxa de Ocorrências,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Ocorrências (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Ocorre%CC%82ncias%20657c527575164ad8b8f69dbcc9c7b81e.csv),
Excluídos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Aplicativo Markup (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Markup%20d24540291e3444bd8674cd1b9d0f6458.csv),Cadastros de Markup que foram excluídos no período.
Pendentes de Análise,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%206cf2e438a4244be9bec358bde25b2b68.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%2050ac19a93b154b50afb7f744fa5c7a4d.csv)",Aplicativo Solicitação de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Solicitac%CC%A7a%CC%83o%20de%20Compra%20915d1edb3b2e4157865893ee0f7a3296.csv),"Número de solicitações de compra que foram efetuadas, porém estão pendentes de análise."
Em Análise,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20d4012f12f00b4885be0e7e50791251da.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%2068deec48ba1e4f28bd9602040460eb32.csv)",Aplicativo Solicitação de Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Solicitac%CC%A7a%CC%83o%20de%20Compra%20915d1edb3b2e4157865893ee0f7a3296.csv),Número de solicitações de compra que estão no processo de análise.
Rendimento Alterado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20519fc2c0bdd84a0b812cd2a85c0c043a.csv), Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20e720b7d4488241e99cb42dc22d55e5da.csv)",Aplicativo SubUnidade (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20SubUnidade%206d66de5f684a498c94d2287a2250ff14.csv),Alterações no rendimento dos produtos das notas de entrada.
Funcionário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Rendimento Alterado (Tarefas%2035631d51a2bd48b992678042ebb44814/Rendimento%20Alterado%20fc50ac32e9e34119bb700b5801a291a8.csv),
Aplicativo Manifestação do Destinatário,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Novas Notas (Tarefas%2035631d51a2bd48b992678042ebb44814/Novas%20Notas%20d7a437215ac84a10b37f07fcfac7cd56.csv), Lançar na Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Lanc%CC%A7ar%20na%20Compra%20f68319680d1b487c8755e88a5f2ef329.csv), Finalizadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Finalizadas%200d0621efb4d146d3bcdf7fc562063ee1.csv), Canceladas (Tarefas%2035631d51a2bd48b992678042ebb44814/Canceladas%20b1c548d5a1be43a7a388422e3b76663d.csv), Fornecedor Não Cadastrado (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20Na%CC%83o%20Cadastrado%203ceb4b50f5d5491a9e835f462ec398b2.csv)",Módulo Compra (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Compra%204f9b97b9ecc340d1989fe9c4e16de279.csv),
Novas Notas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%2024cb5a36386b43b2b225e98de58dd361.csv),Aplicativo Manifestação do Destinatário (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Manifestac%CC%A7a%CC%83o%20do%20Destinata%CC%81rio%205b4d0fc758eb4caab5eab804a60bdcc7.csv),Número de novas notas fiscais eletrônicas emitidas contra o CNPJ da empresa.
Lançar na Compra,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%201b895dfaacc44f1b82ab017bae550daf.csv),Aplicativo Manifestação do Destinatário (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Manifestac%CC%A7a%CC%83o%20do%20Destinata%CC%81rio%205b4d0fc758eb4caab5eab804a60bdcc7.csv),Número de xmls obtidos através da manifestação que podem ser lançados como compras no sistema.
Finalizadas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%208e1e61ef2dc9467bb053f10d463fa47d.csv),Aplicativo Manifestação do Destinatário (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Manifestac%CC%A7a%CC%83o%20do%20Destinata%CC%81rio%205b4d0fc758eb4caab5eab804a60bdcc7.csv),Número de notas que tiveram o processo de manifestação e lançamento da compra finalizados.
Canceladas,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20d3e548716f2441219d13fb96214c03f2.csv),Aplicativo Manifestação do Destinatário (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Manifestac%CC%A7a%CC%83o%20do%20Destinata%CC%81rio%205b4d0fc758eb4caab5eab804a60bdcc7.csv),"Número de notas fiscais eletrônicas canceladas que foram a obtidas através da manifestação do destinatário. "
Fornecedor Não Cadastrado,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20212089eb95664ddf90d35cb08c81214b.csv),Aplicativo Manifestação do Destinatário (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Manifestac%CC%A7a%CC%83o%20do%20Destinata%CC%81rio%205b4d0fc758eb4caab5eab804a60bdcc7.csv),Número de notas cujo fornecedor não está cadastrado no sistema.
Motivo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Transferidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Transferidos%20971756d4f98341b2bc9a973e52570eac.csv),
Volume de Agendamentos,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20ff9e664eb90e4c749001febf9d72ee56.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20d240e8a7b8d141fe8d4ec03717695165.csv)",Aplicativo Agendamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Agendamento%20f3d472b94fd94dc0873404d148beae5b.csv),Número total de agendamentos realizados no período.
Em Aberto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20ed761f32d1284192b353b1c09473b6b8.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20f97c01132e284ff4a04cc5f35c8380ab.csv)",Aplicativo Proposta (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Proposta%20e6850907842e4305a11b7004394751fb.csv),Número total de propostas que estão em aberto.
Motivo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Recusadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Recusadas%20ba5093fc34be470a9e1859547ad64d8b.csv),
Aplicativo Devolução,Deduções,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Volume Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20Total%20563e310db6c54a77917bcee02a48f1a7.csv), Valor Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%202c5a2832a82c4059b5297598d676e0ef.csv), Total Frete (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20Frete%20dffe6eea915e45848f78525464eda2ab.csv), Total Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20Acre%CC%81scimo%200f2c01a52ae84233bd0aa3d95a033ea8.csv), Total Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20Desconto%205c971bff542642eba9117a84bcff5bfc.csv), Total Impostos (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20Impostos%20807ca35c8a774fe7ae5fcabf9c0892e7.csv), Valor Total de Notas (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Notas%2030c24932349545d6bd56066859725485.csv), Sem Tributação (Tarefas%2035631d51a2bd48b992678042ebb44814/Sem%20Tributac%CC%A7a%CC%83o%207a2dae79a69d4feb8f38bccd857222e5.csv), Alteradas Após Emissão de Nota (Tarefas%2035631d51a2bd48b992678042ebb44814/Alteradas%20Apo%CC%81s%20Emissa%CC%83o%20de%20Nota%206d1a76b49369429180a4378de17ed5e7.csv)",Módulo Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Venda%2019211818d4ab4c7eac5f69bcd9fe9f2e.csv),
Volume Total,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%207886405c9d4e4bb5b5b8e21253ae101b.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%206ffeeabfc70a43bf8f9a98c0a1c21ec0.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20148b3221694448e4af1ed121d2b0bb25.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20feaa7790498d424a8374274896fe251d.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),Número total de devoluções efetuadas.
Valor Total,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20208128ae9f63424e9685876e15a971ce.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%204673cb8c98e74097bec9211be589f2cc.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20f293a650add74f0ca87819ada46e840b.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20bd9116bb9e8b43838adee05022e8e9c9.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),Valor total das devoluções efetuadas no período.
Total Frete,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20bb1a73511c7a41cdaa831e8a2f1a945f.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20aa111d9919fa4c6a87947f4d3c9ab4ec.csv), Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%203c946a88447b4e9faf6620a649e335f8.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20be42d9837c8b4f97806fb2a5a4d2a8d8.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),Valor total de frete incluído em devoluções efetuadas.
Total Acréscimo,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%207a8b021fe4a54a88968905b0794d1eef.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%209d6ed181c56140ba8e92a4ec507edaae.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%207fbcc4fbf8244ff797cdd698e3ff9b68.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%2068072b358625489783e6994a2705133c.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),Valor total de acréscimo aplicado nas devoluções efetuadas.
Total Desconto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20e3c62a548cf641fa8bd1df9032055cb8.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20f17c5177743d4ae4b1a6d9075128cb7d.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20ee459416ebfe4199a34afd3144877eba.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20c3b4e1599713445586493656bacaf6da.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),"Valor total de descontos aplicados em notas de devolução. "
Total Impostos,"CofinsDevol, ICMSDevol, ICMSSTDevol, IPIDevol, PISDevol",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Funciona%CC%81rio%20cfbc401c2d6542c2a7477e9140db6eb7.csv), Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Cliente%20e5ee8d9761cc4076b33d22bbbec161b3.csv), Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Fornecedor%20e9ab8d2146204a2fac40eed875680d5d.csv), Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Produto%20dd7d2559f37044378cb877137498b381.csv)",Aplicativo Devolução (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Devoluc%CC%A7a%CC%83o%20af999742459b443c8503e74ed059708c.csv),Valor total de Impostos sobre as devoluções efetuadas.
